VM_Name,vCPU,RAM_MB,Target_Node,Node_Profile
rntRubrik01,2.0,65536.0,rntovsdev1.rai.it,autodiscovered-4s18c
rntblog01.portale.rai.it,3.0,129024.0,rntovsdev1.rai.it,autodiscovered-4s18c
rntcdnwf3,0.75,32768.0,rntovsdev1.rai.it,autodiscovered-4s18c
rntorchmicroserv,1.5,24576.0,rntovsdev2.rai.it,autodiscovered-4s18c
rntpalinsesto-svil,0.5,65536.0,rntovsdev2.rai.it,autodiscovered-4s18c
rntredisborgo1,1.0,65536.0,rntovsdev2.rai.it,autodiscovered-4s18c
rntredisborgo2,1.0,65536.0,rntovsdev2.rai.it,autodiscovered-4s18c
rntNAGIOSXI01,0.75,23552.0,rntovsdev3.rai.it,autodiscovered-4s18c
rntredisborgo3,1.0,65536.0,rntovsdev3.rai.it,autodiscovered-4s18c
rntredispreprod1,0.5,65536.0,rntovsdev3.rai.it,autodiscovered-4s18c
rntredispreprod2,0.5,65536.0,rntovsdev3.rai.it,autodiscovered-4s18c
RNTEUROSVI,0.5,8192.0,vmw1.rai.it,autodiscovered-4s24c
RNTMANAGEMENT1,0.25,8192.0,vmw1.rai.it,autodiscovered-4s24c
RNTSND06,0.25,4096.0,vmw1.rai.it,autodiscovered-4s24c
RNTSND08,0.25,6144.0,vmw1.rai.it,autodiscovered-4s24c
RNTSND12.SC.RAI.IT,0.25,6144.0,vmw1.rai.it,autodiscovered-4s24c
avaproxy01.rai.it,0.5,4096.0,vmw1.rai.it,autodiscovered-4s24c
avaproxy02.rai.it,0.5,4096.0,vmw1.rai.it,autodiscovered-4s24c
avaproxy03.rai.it,0.5,4096.0,vmw1.rai.it,autodiscovered-4s24c
centos-mirror-yum,0.25,2048.0,vmw1.rai.it,autodiscovered-4s24c
cinegysql,0.25,8192.0,vmw1.rai.it,autodiscovered-4s24c
gitlab1,0.25,9632.0,vmw1.rai.it,autodiscovered-4s24c
jenkins1,0.25,9632.0,vmw1.rai.it,autodiscovered-4s24c
proxmoxquorum,0.125,2048.0,vmw1.rai.it,autodiscovered-4s24c
raipub01.portale.rai.it,0.25,5984.0,vmw1.rai.it,autodiscovered-4s24c
rntManagementW,0.25,8192.0,vmw1.rai.it,autodiscovered-4s24c
rntSJOLLY2,0.25,8192.0,vmw1.rai.it,autodiscovered-4s24c
rntTLG,0.125,2048.0,vmw1.rai.it,autodiscovered-4s24c
rntacn,0.5,8192.0,vmw1.rai.it,autodiscovered-4s24c
rntadvsvil,0.25,8192.0,vmw1.rai.it,autodiscovered-4s24c
rntaspera,0.5,8192.0,vmw1.rai.it,autodiscovered-4s24c
rntblogdevteche.portale.rai.it,1.0,7840.0,vmw1.rai.it,autodiscovered-4s24c
rntbrkallnwaux,1.0,7872.0,vmw1.rai.it,autodiscovered-4s24c
rntcds01new,0.25,4096.0,vmw1.rai.it,autodiscovered-4s24c
rntcds02,0.25,4096.0,vmw1.rai.it,autodiscovered-4s24c
rntdev02,0.25,5856.0,vmw1.rai.it,autodiscovered-4s24c
rntdoc,0.5,8192.0,vmw1.rai.it,autodiscovered-4s24c
rntdocsnews01,0.75,9920.0,vmw1.rai.it,autodiscovered-4s24c
rntesmsyslog,0.25,4096.0,vmw1.rai.it,autodiscovered-4s24c
